Sample,Row,Col,min,max,mean,stddev,sigma,dmin,dmax,dmean,dstddev,positive
1_10001322_10/3/1996_POL,C,5,151.719,1531.825,714.588078549849,533.541172250561,173.12313048985,0.000931323476151375,0.278152775983825,0.0309895982424478,0.0541600421415829,1
1_10001397_11/6/1996_POL,F,5,155.263,1454.474,682.052936555891,504.22408161863,166.172173173512,0.000636159200255556,0.306611856028676,0.0309886605077026,0.0552920225638888,1
1_10002497_6/19/1997_POL,F,11,140.346,1391.472,646.376933534743,491.590210612237,165.790437050089,0.000730315420232709,0.306561525411807,0.0309884843472848,0.0565909576301388,1
1_10004187_1/8/1996_ENV3,B,9,87.641,1056.105,500.496505995204,339.266551766646,77.3406131315484,0.000423179568469054,0.2190748680391,0.0248525114575143,0.0350350073488055,1
1_10004187_7/24/1996_GAG1,C,7,143.013,902.094,449.133912536443,279.077662256648,77.0982439750097,0.000966704692161019,0.230083709175202,0.0309610952336514,0.0424016087450941,1
1_10004461_1/20/1998_ENV3,A,9,98.204,1217.184,610.547537313433,414.48164275752,88.6808298302221,0.000573250784256648,0.110569248407205,0.0248313309994262,0.0251588945270616,1
1_10004461_12/5/1996_POL,C,5,150.459,1574.687,712.386352409639,536.978775791358,169.20498751129,0.000677987884003959,0.233488047038951,0.030927554455287,0.0486009314686802,1
1_10004461_6/30/1995_V4ENV,F,1,93.342,1193.517,580.605841726619,398.120073166452,91.4561844837056,0.000479415729963837,0.189287601324146,0.0248703943992572,0.0325163564794208,1
1_10004581_12/3/1997_GAG1,G,1,150.246,827.979,423.152963855422,245.06116602568,65.350002207814,0.00133924774436965,0.223163034997378,0.030901904792333,0.0407881119536793,1
1_10004818_7/21/1997_GAG1,A,7,134.435,704.797,361.19253313253,207.382040780561,58.031218440433,0.00170518825401761,0.249358570082313,0.0309284532102483,0.0438039540742929,1
1_30001864_10/17/1996_GAG1,A,7,110.186,628.529,316.99959400545,190.400320430091,54.8622790103948,0.00144333930915132,0.249937722149036,0.0309607650821149,0.0446415245668072,1
1_30001864_11/12/1998_GAG1,D,7,130.849,788.096,387.061836512262,240.593180159889,71.7964178392327,0.000830818828796363,0.235654792274847,0.0309271752959134,0.0440544489177222,1
1_30001864_11/12/1998_POL,D,11,112.488,1222.031,546.523501362398,428.441021819806,147.276141966561,0.00022213395887122,0.281590389966889,0.030938458931005,0.0554641161544908,1
1_30001864_11/12/1998_V4ENV,B,1,89.418,1146.191,526.399941605839,381.606533751028,90.3192058034938,0.000324914874395472,0.0926229413183548,0.0248260666471463,0.0241576311371037,1
1_30001864_5/5/1999_GAG1,E,7,126.011,748.408,369.631111716621,227.698453657442,67.6469767787658,0.00151586484456485,0.244838054424974,0.0309237438351853,0.0447269023212367,1
1_30001864_5/5/1999_POL,E,11,109.629,1159.705,518.45451226158,404.167988946725,137.07186498857,0.000370927409738043,0.227236126127225,0.030927876699887,0.0499675127263869,1
1_30001864_5/7/1997_GAG1,B,7,118.683,679.326,340.61636239782,205.627544122988,60.4761977341317,0.00119608160658086,0.252932204110101,0.0309473383434077,0.0453923677977961,1
